CLID	Symbol	p003	p016	p018	p025	p026	p029	p034	p035	p036	p041	p042	p044	p052	p058	p062	p063	p068	p072	p076	p080	p090	p093	p098	p100	p104	p105	p115	p118	p133	p138	p139	p143	p145	p146	p151	p155	p156	p160	p165	p173	p174	p177	p180	p185	p189	p198	p206	p208	p212	p214	p215	p217	p221	p228	p230	p232	p236	p238	p241	p001	p012	p019	p020	p028	p030	p032	p037	p039	p046	p048	p051	p053	p055	p056	p059	p064	p079	p084	p085	p087	p088	p091	p096	p097	p103	p123	p126	p129	p130	p140	p142	p157	p158	p159	p161	p162	p175	p181	p183	p184	p192	p196	p197	p202	p204	p211	p227	p231	p233	p002	p010	p027	p031	p045	p054	p069	p074	p099	p107	p120	p137	p152	p186	p210	p216	p222
5654	HTRA1	-1.324	-0.395	-0.911	-0.684	-0.747	-0.238	-2.34	-0.422	0.73	-0.46	-0.899	-0.929	-0.617	-0.546	-0.304	-0.274	-2.153	-0.598	-0.287	-1.729	-1.7	-0.836	1.736	-0.501	-0.513	-0.913	-0.193	-0.078	-1.298	-1.875	0.261	0.096	-1.243	-0.55	-0.61	-1.615	0.746	-0.61	-0.711	-1.765	-0.694	-1.216	-1.549	-0.92	-0.054	-1.136	-0.419	-0.4	-1.061	-0.274	-1.27	-0.672	-0.991	-0.009	-0.794	2.534	-1.536	-0.436	-0.337	1.212	1.345	1.229	0.325	2.056	1.089	0.556	-0.676	0.18	-0.264	0.969	0.501	1.397	-0.059	-0.597	0.426	0.835	-0.191	-0.33	-0.141	1.532	1.228	0.314	0.398	-0.262	0.767	0.945	0.332	-0.333	1.447	1.289	-0.279	-0.01	-1.215	-0.063	-0.68	0.299	-0.573	0.295	-1.216	0.922	-0.75	-0.874	0.882	0.597	0.365	0.331	-1.425	0.081	0.357	-0.198	0.029	-0.549	0.654	0.284	0.213	0.883	0.878	1.952	1.499	0.746	-0.694	0.601	1.152	1.104	1.178	1.983
5698	PSMB9	0.161	0.187	0.221	0.912	-0.159	0.237	0.574	0.395	-0.526	-0.941	0.121	-0.083	0.242	0.55	0.047	0.352	0.225	-0.06	-0.099	0.13	0.802	0.472	0.054	0.208	0.215	0.04	0.118	-0.387	0.344	0.323	0.401	-0.167	0.361	0.509	0.412	0.182	0.585	0.769	0.301	0.212	0.991	-0.152	0.196	0.046	-0.326	-0.259	-0.319	0.132	0.552	-0.131	0.305	-0.191	0.352	-0.48	0.654	0.246	0.337	0.365	0.732	-0.236	-0.185	-0.274	-0.515	-0.028	-0.764	-0.366	-0.398	-0.145	0.197	0.051	-0.079	0.153	0.187	-0.518	-0.772	-0.423	-0.18	-0.39	-0.384	-1.327	-0.146	-0.311	-0.094	-0.414	0.488	-0.651	-0.559	-0.428	-0.487	-0.556	0.367	-0.533	0.123	-0.386	-0.039	-0.282	-0.342	-0.154	0.131	-0.757	0.125	0.097	-0.464	-0.404	0.023	-0.089	0.057	-0.649	-0.077	-0.876	-0.007	0.052	0.208	-0.091	0.326	0.437	-0.544	-0.272	-0.485	0.553	0.037	0.411	0.113	-0.524	0.193	0.174
5730	PTGDS	0.402	0.703	-0.496	1.523	1.099	-0.281	1.105	1.667	0.528	0.888	0.185	-0.692	0.386	1.502	-0.638	0.269	0.369	0.459	-0.157	0.274	0.255	-0.266	1.121	-0.737	0.315	0.984	0.537	-0.165	-0.364	-0.077	1.08	-0.015	-0.354	-0.691	0.642	-1.315	1.655	0.628	0.862	-0.275	-2.305	1.38	-0.691	0.462	-0.05	-0.511	0.776	0.774	-0.668	-0.334	0.881	0.98	0.282	1.187	0.905	1.013	0.462	0.61	0.605	-0.261	-1.235	0.158	-0.067	-0.564	-0.904	-0.489	-1.104	0.981	-0.178	0.162	-1.45	-0.179	-0.094	-1.227	0.194	-1.352	-1.831	0.078	-0.909	0.075	-0.121	1.507	-0.441	-0.203	-0.444	-0.274	-1.037	-0.96	-0.107	-0.641	-0.004	-0.622	-0.085	-1.16	-1.484	-0.833	0.547	-0.604	0.373	-0.403	0.249	-0.764	1.468	-0.48	0.174	-1.095	-0.48	-0.674	-0.48	0.532	0.697	0.063	0.973	0.587	1.328	2.297	0.137	0.874	-0.615	2.031	1.95	1.733	1.224	-0.231	1.322	1.671
8743	TNFSF10	0.35	0.071	-0.184	-0.776	0.119	0.38	-0.04	-0.566	-0.01	0.389	-0.175	1.312	0.545	-0.916	-0.234	-0.032	-0.619	0.519	0.899	0.982	0.854	0.358	-0.341	-0.826	-0.256	0.339	-0.956	0.609	0.204	0.697	-0.244	0.289	0.782	1.189	-0.038	0.657	-0.779	-0.641	-0.46	-0.937	-0.681	0.462	0.205	-0.549	0.735	0.006	0.28	-0.755	1.256	-0.382	0.505	0.366	1.146	0.794	0.02	-0.158	0.076	-0.265	-0.087	0.467	1.103	-0.659	1.938	-0.084	-0.924	0.103	-0.787	-0.327	-0.675	0.345	-0.962	0.981	-0.674	-0.445	-0.425	0.058	-0.759	-0.471	-0.046	-0.593	-0.611	-1.023	-0.812	-0.938	-0.487	-0.315	-0.35	-0.445	-1.102	-0.22	0.313	-0.624	0.461	-0.717	-0.249	0.05	-0.399	-0.429	-0.245	-0.598	-0.484	-0.109	-0.307	-0.32	-0.067	-0.59	-0.664	-0.748	-0.904	0.781	-0.636	0.242	0.847	-0.092	0.186	-1.296	-0.951	0.221	1.457	-0.368	0.481	-1.297	-0.341	-0.067	0.584	0.454
3002	GZMB	0.848	0.574	0.674	1.184	0.875	1.262	0.163	1.508	0.556	-1.071	-1.676	-0.037	1.399	1.078	0.352	1.199	0.111	0.794	-0.161	0.765	0.89	1.917	-0.452	0.912	0.111	0.794	0.588	0.156	0.401	0.074	0.635	0.153	0.61	-0.165	1.444	0.577	0.943	0.267	0.771	-0.055	1.209	0.547	1.525	0.157	0.532	1.556	0.886	0.497	0.269	0.944	0.666	1.099	0.756	0.544	1.401	0.267	0.936	-0.095	0.801	-0.538	-0.633	-0.548	-0.647	-0.357	-0.627	-0.328	-0.255	-0.138	0.121	-0.609	0.621	-0.105	0.28	-0.183	-0.784	-0.672	0.018	-0.546	-0.29	-0.851	-0.897	-0.165	-0.065	-0.202	0.07	-0.505	-0.187	-0.4	-0.756	-0.64	0.395	-0.606	0.123	-0.496	-0.641	-0.826	-0.671	-0.359	0.135	-1.315	0.112	-0.239	0.029	-0.448	0.556	-0.67	0.187	-0.516	-0.505	-0.322	-0.147	-0.436	0.208	-0.682	0.089	-0.222	-0.096	-0.381	-0.74	0.6	0.747	0.928	0.14	1.288	0.235	-0.212
6373	CXCL11	1.183	-0.362	0.881	-0.866	1.894	1.826	0.603	1.108	-0.357	0.174	0.831	0.394	1.114	0.075	1.301	1.421	0.031	1.984	1.516	1.778	1.549	0.812	-1.054	0.849	-0.026	1.408	0.42	1.32	2.79	1.034	0.018	0.541	1.131	1.457	0.254	2.251	-1.043	-2.015	1.146	0.3	1.537	0.878	1.571	0.293	2.306	0.012	0.551	-1.128	0.921	0.989	1.649	0.438	1.597	0.633	0.746	0.281	0.272	0.598	-0.312	1.204	-0.21	-0.908	-1.005	-0.531	0.763	-0.549	-0.546	-0.884	-0.165	-0.075	0.238	0.237	-0.813	0.092	-1.18	-0.597	-0.955	-0.414	-0.254	-0.131	-0.541	-0.49	-0.707	-0.893	-0.167	-0.893	-0.496	-1.142	-1.2	-1.143	-0.002	-0.186	1.29	0.329	0.03	-0.565	-0.848	-0.358	0.283	-0.516	0.684	-0.583	-1.562	-0.466	0.069	-0.82	-0.15	-0.513	-0.645	-0.639	-0.277	-0.308	1.037	-0.079	1.088	-0.891	-0.817	-0.006	-0.311	-0.864	0.305	-0.8	-1.276	1.117	-0.284	-1.375
10563	CXCL13	1.404	0.835	0.566	-0.225	1.714	1.674	0.963	1.946	-0.28	0.917	0.889	0.808	1.051	1.273	0.973	1.831	1.772	1.607	1.569	2.013	1.354	1.297	0.597	2.147	1.092	1.828	1.261	1.006	1.566	1.307	1.727	0.864	1.466	0.68	1.829	1.562	-1.177	0.352	1.667	0.237	1.992	0.885	1.798	1.38	0.437	1.335	1.544	-0.754	1.069	1.074	1.266	0.428	1.364	0.877	1.605	0.375	0.575	1.299	0.104	-1.755	-0.901	-1.171	-0.969	-0.567	-0.717	-0.485	-0.101	-1.08	-0.3	-0.89	-0.099	-0.618	0.464	-0.158	-1.058	-1.016	-0.774	-0.609	-0.318	-0.245	-1.092	-1.173	-0.921	-0.339	-0.496	-1.384	-0.978	-0.766	-0.652	-1.016	-0.5	0.384	-0.555	-0.577	-1.106	-0.916	-1.01	-0.711	-0.007	0.346	0.258	-0.245	-1.257	-0.746	-0.889	-1.269	-0.044	-0.968	-0.912	-1.537	0.04	0.551	0.181	-1.052	0.746	-0.218	0.744	0.613	-1.589	-0.313	0.21	-1.282	2.143	0.198	0.326	-1.512
6279	S100A8	1.655	2.924	2.713	1.78	-1.163	1.057	0.061	-1.54	2.713	-2.327	-1.254	-0.422	0.088	1.887	-0.848	-2.396	0.648	-0.288	-1.702	-1.189	-0.193	-0.106	-0.696	1.903	-1.92	-1.08	2.386	2.23	0.494	1.834	-0.367	3.037	2.119	1.631	-0.425	-0.092	-1.29	-0.616	-2.308	2.507	0.464	2.048	-1.446	-1.255	0.67	1.983	2.193	-1.067	2.455	-1.227	-0.741	-0.987	-0.599	-1.343	-0.291	-1.339	3.166	-0.702	-0.59	-0.24	-1.189	-0.743	0.885	-0.012	-0.142	-0.433	0.5	-0.465	-0.167	-0.753	-0.904	1.318	-0.119	-0.881	2.837	0.449	-0.525	0.585	-0.198	0.381	-0.512	0.717	0.183	3.734	0.748	-1.437	-0.512	0.123	2.525	0.227	0.308	-0.245	0.665	-0.717	-0.664	3.185	2.198	-0.454	-0.022	1.413	-0.003	-0.769	0.073	-0.738	-0.719	3.671	3.284	2.228	-0.754	1.926	3.834	-1.251	-2.398	-1.098	-0.238	-0.806	-1.753	-1.429	-0.682	-1.125	0.051	-0.667	-0.266	2.115	0.249	-1.698
3620	IDO1	1.032	1.668	1.702	0.739	0.883	1.288	0.814	1.038	-0.698	0.592	3.083	3.568	2.545	-0.078	0.764	1.946	1.307	0.86	1.194	0.68	1.567	1.234	-0.599	0.668	0.417	0.491	1.021	0.047	1.105	-0.052	1.334	0.26	1.043	0.319	1.753	2.089	0.218	0.773	1.544	0.498	0.853	0.767	2.246	0.088	1.258	0.464	1.152	0.302	1.507	1.02	0.496	0.835	1.089	0.396	1.386	0.121	0.288	2.253	1.344	-0.677	-1.198	-1.178	-0.493	-0.722	0.218	-0.79	-0.745	-0.88	-0.277	-0.693	-0.042	0.238	-1.201	0.051	-1.286	-1.199	-1.595	0.207	-0.631	-1.262	-1.241	-1.418	-0.605	-0.636	0.564	-0.287	-1.262	-0.092	-1.106	-1.096	-0.507	-0.436	-0.325	-0.59	-1.473	0.555	-0.485	-0.514	0.33	-1.108	0.153	-0.506	-1.084	-1.108	-0.813	-0.783	-0.537	-0.952	-0.364	0.63	0.232	-0.149	0.17	-0.669	0.989	-0.83	0.01	-0.066	-1.362	-0.142	0.355	-1.12	0.627	0.342	-0.083	-0.779
6422	SFRP1	0.426	-1.598	-1.094	-0.146	-1.637	-1.143	-0.338	-0.491	-1.548	2.245	-0.025	-0.266	-0.961	-2.224	-2.822	0.392	-0.518	-1.543	-1.046	-0.432	-1.775	-1.536	-1.412	-1.538	0.481	-1.591	-1.156	-1.471	-0.41	-1.507	-2.01	-1.817	-1.01	-1.475	-0.002	-1.562	-0.407	0.271	-1.975	-1.827	-0.218	0.022	0.26	0.288	0.837	-1.504	-1.217	0.624	-1.055	-2.015	-1.964	0.09	-0.748	-0.995	-1.779	-0.868	-0.352	1.004	0.286	-1.217	2.213	-0.103	0.664	-0.668	0.617	3.395	-0.552	0.594	0.153	1.707	0.739	1.251	1.703	-0.027	0.612	1.406	0.419	0.423	0.034	0.829	1.312	1.454	2.564	-0.272	0.44	0.873	0.57	0.574	0.407	0.831	2.995	0.205	1.614	-0.175	2.13	1.253	1.023	0.713	3.018	1.178	2.037	1.085	0.806	0.307	-0.869	1.278	1.428	-0.703	1.273	0.122	1.638	0.458	-1.748	0.127	0.044	1.338	0.875	-1.486	-0.274	0.493	1.466	1.022	-0.599	0.004	-0.581	1.854
