CLID	CLID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
CLID	CLID	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043
567	B2M|567	2.274079439	2.274079439	2.274079439	2.274079439	2.042343946	2.042343946	2.042343946	2.042343946	2.274079439	2.274079439	2.274079439	2.274079439
571	BACH1|571	0.699043782	0.699043782	0.699043782	0.699043782	0.699043782	0.699043782	0.699043782	0.699043782	0.975350283	0.975350283	0.975350283	0.975350283
586	BCAT1|586	-0.002078399	-0.002078399	-0.002078399	-0.002078399	-0.330220232	-0.330220232	-0.330220232	-0.330220232	-0.002078399	-0.002078399	-0.002078399	-0.002078399
608	TNFRSF17|608	-0.60347673	-0.60347673	-0.60347673	-0.60347673	-1.319622146	-1.319622146	-1.319622146	-1.319622146	-1.319622146	-1.319622146	-1.319622146	-1.319622146
638	BIK|638	-1.229789617	-1.229789617	-1.229789617	-1.229789617	-1.229789617	-1.229789617	-1.229789617	-1.229789617	-1.92644995	-1.92644995	-1.92644995	-1.92644995
639	PRDM1|639	0.02403073	0.02403073	0.02403073	0.02403073	-0.251580586	-0.251580586	-0.251580586	-0.251580586	0.02403073	0.02403073	0.02403073	0.02403073
640	BLK|640	-0.580506251	-0.580506251	-0.580506251	-0.580506251	-1.299397077	-1.299397077	-1.299397077	-1.299397077	-1.299397077	-1.299397077	-1.299397077	-1.299397077
643	CXCR5|643	-0.350810567	-0.350810567	-0.350810567	-0.350810567	-1.137803275	-1.137803275	-1.137803275	-1.137803275	-1.137803275	-1.137803275	-1.137803275	-1.137803275
695	BTK|695	0.245971152	0.245971152	0.245971152	0.245971152	-0.131976303	-0.131976303	-0.131976303	-0.131976303	-0.131976303	-0.131976303	-0.131976303	-0.131976303
710	SERPING1|710	1.262187352	1.262187352	1.262187352	1.262187352	0.996747506	0.996747506	0.996747506	0.996747506	1.262187352	1.262187352	1.262187352	1.262187352
712	C1QA|712	1.509776913	1.509776913	1.509776913	1.509776913	1.09872749	1.09872749	1.09872749	1.09872749	1.09872749	1.09872749	1.09872749	1.09872749
713	C1QB|713	1.569714241	1.569714241	1.569714241	1.569714241	1.130726927	1.130726927	1.130726927	1.130726927	1.130726927	1.130726927	1.130726927	1.130726927
714	C1QC|714	1.502926218	1.502926218	1.502926218	1.502926218	1.09911923	1.09911923	1.09911923	1.09911923	1.09911923	1.09911923	1.09911923	1.09911923
718	C3|718	0.866866305	0.866866305	0.866866305	0.866866305	0.374600888	0.374600888	0.374600888	0.374600888	0.866866305	0.866866305	0.866866305	0.866866305
719	C3AR1|719	0.089269764	0.089269764	0.089269764	0.089269764	-0.205391346	-0.205391346	-0.205391346	-0.205391346	0.089269764	0.089269764	0.089269764	0.089269764
720	C4A|720	0.634609785	0.634609785	0.634609785	0.634609785	0.270192853	0.270192853	0.270192853	0.270192853	0.634609785	0.634609785	0.634609785	0.634609785
730	C7|730	-0.201827816	-0.201827816	-0.201827816	-0.201827816	-0.853181484	-0.853181484	-0.853181484	-0.853181484	-0.201827816	-0.201827816	-0.201827816	-0.201827816
752	FMNL1|752	0.7429557	0.7429557	0.7429557	0.7429557	0.395387439	0.395387439	0.395387439	0.395387439	0.395387439	0.395387439	0.395387439	0.395387439
816	CAMK2B|816	-1.229737956	-1.229737956	-1.229737956	-1.229737956	-1.229737956	-1.229737956	-1.229737956	-1.229737956	-0.711166531	-0.711166531	-0.711166531	-0.711166531
822	CAPG|822	0.991575047	0.991575047	0.991575047	0.991575047	0.991575047	0.991575047	0.991575047	0.991575047	0.433440839	0.433440839	0.433440839	0.433440839
825	CAPN3|825	1.049186678	1.049186678	1.049186678	1.049186678	1.049186678	1.049186678	1.049186678	1.049186678	0.452852256	0.452852256	0.452852256	0.452852256
