CLID	Name	4180	4175	4173	4142	3481	SCP 6	SCP 21	SCP 26	Parental	SCP 25	SCP 46	SCP 2	1833
"(Pcorr_Breast2Lung_LM2=LM2 like, Pcorr_Breast2Lung_Parental=Parental like)"	NaN	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480
4312	Matrix metallopeptidase 1 (interstitial collagenase)	1.184	0	-0.291	0.786	-1.758	-6.947	-9.776	-5.736	-3.259	2.677	1.586	2.435	1.935
3397	"Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"	0.95	0.903	1.388	2.072	2.03	0	-0.577	-0.717	-0.473	-0.124	-0.907	0.68	-1.269
4848	"CCR4-NOT transcription complex, subunit 2"	0.553	0.856	0.717	0.475	0.665	-1.184	-0.034	0.548	-0.86	-0.929	0	-0.937	-0.241
4147	Matrilin 2	-1.739	-2.719	-1.417	-1.66	-2.243	1.128	0.994	2.869	0.746	1.281	0.532	0	-0.565
4121	"Mannosidase, alpha, class 1A, member 1"	0.3	0.633	0.35	0.657	1.098	-2.08	-2.057	-1.503	-1.341	-0.126	0.081	0	-0.954
84612	Par-6 partitioning defective 6 homolog beta (C. elegans)	-1.016	-0.787	-0.375	-0.77	0	1.36	2.022	2.381	2.989	1.109	-1.074	-0.558	0.782
1438	"Colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)"	-0.248	-1.155	-0.345	-0.615	0	1.487	1.603	1.932	1.157	0.593	0.386	-0.359	-1.266
5743	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	0.817	0.494	-0.041	0.522	0.829	-2.285	-1.886	-3.411	-2.132	-1.087	0.84	0.917	0
3418	"Isocitrate dehydrogenase 2 (NADP+), mitochondrial"	-1.001	0	-1.124	-0.486	-0.216	0.453	0.874	0.446	1.071	1.273	-0.207	0.324	-0.868
10085	EGF-like repeats and discoidin I-like domains 3	-1.065	-0.701	-1.526	0.469	0.659	0	-0.865	0.212	1.088	0.058	-0.293	-0.152	1.149
