CLID	Name	Log2 Ratio (TBCC vs NBE)	Log2 Ratio (TBCC vs NBE)	Log2 Ratio (TBCC vs NBE)	Log2 Ratio (TBCC vs NBE)	Log2 Ratio (TBCC vs NBE)	dumy	dumy	dumy	dumy	dumy
IGS=Log2 Ratio (TBCC vs NBE)	NaN	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949	dumy	dumy	dumy	dumy	dumy
10092	10092	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3
10238	10238	1.4	1.4	1.4	1.4	1.4	2	2	2	2	2
10279	10279	-1.2	-1.2	-1.2	-1.2	-1.2	-1.8	-1.8	-1.8	-1.8	-1.8
10379	10379	1.9	1.9	1.9	1.9	1.9	-1.3	-1.3	-1.3	-1.3	-1.3
10406	10406	-1.3	-1.3	-1.3	-1.3	-1.3	1.5	1.5	1.5	1.5	1.5
10590	10590	-1	-1	-1	-1	-1	1.1	1.1	1.1	1.1	1.1
10766	10766	-1	-1	-1	-1	-1	-1.2	-1.2	-1.2	-1.2	-1.2
11015	11015	2	2	2	2	2	1.4	1.4	1.4	1.4	1.4
11164	11164	1.6	1.6	1.6	1.6	1.6	-1.7	-1.7	-1.7	-1.7	-1.7
11221	11221	-1.2	-1.2	-1.2	-1.2	-1.2	1.1	1.1	1.1	1.1	1.1
22936	22936	-1.4	-1.4	-1.4	-1.4	-1.4	-2.5	-2.5	-2.5	-2.5	-2.5
23015	23015	-2.5	-2.5	-2.5	-2.5	-2.5	-1.8	-1.8	-1.8	-1.8	-1.8
23075	23075	-1.1	-1.1	-1.1	-1.1	-1.1	-1	-1	-1	-1	-1
23227	23227	-2	-2	-2	-2	-2	-1.5	-1.5	-1.5	-1.5	-1.5
23317	23317	1.3	1.3	1.3	1.3	1.3	-1.2	-1.2	-1.2	-1.2	-1.2
23446	23446	-1.3	-1.3	-1.3	-1.3	-1.3	2.3	2.3	2.3	2.3	2.3
23463	23463	1.2	1.2	1.2	1.2	1.2	-1.4	-1.4	-1.4	-1.4	-1.4
23517	23517	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1
23678	23678	-1.7	-1.7	-1.7	-1.7	-1.7	-2	-2	-2	-2	-2
23764	23764	-2.1	-2.1	-2.1	-2.1	-2.1	1.6	1.6	1.6	1.6	1.6
25917	25917	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7
25953	25953	1	1	1	1	1	1.7	1.7	1.7	1.7	1.7
26010	26010	1.3	1.3	1.3	1.3	1.3	1.5	1.5	1.5	1.5	1.5
26137	26137	-1.5	-1.5	-1.5	-1.5	-1.5	-1.1	-1.1	-1.1	-1.1	-1.1
26610	26610	1	1	1	1	1	-2.1	-2.1	-2.1	-2.1	-2.1
27252	27252	1.4	1.4	1.4	1.4	1.4	1.5	1.5	1.5	1.5	1.5
27347	27347	1.7	1.7	1.7	1.7	1.7	-1.2	-1.2	-1.2	-1.2	-1.2
29097	29097	1.7	1.7	1.7	1.7	1.7	-2.1	-2.1	-2.1	-2.1	-2.1
29950	29950	-1.9	-1.9	-1.9	-1.9	-1.9	-1.1	-1.1	-1.1	-1.1	-1.1
29990	29990	-1.1	-1.1	-1.1	-1.1	-1.1	1.3	1.3	1.3	1.3	1.3
51029	51029	1.8	1.8	1.8	1.8	1.8	-1	-1	-1	-1	-1
51163	51163	1.4	1.4	1.4	1.4	1.4	1.2	1.2	1.2	1.2	1.2
51201	51201	-2.1	-2.1	-2.1	-2.1	-2.1	1.4	1.4	1.4	1.4	1.4
51278	51278	-1.2	-1.2	-1.2	-1.2	-1.2	1.2	1.2	1.2	1.2	1.2
51307	51307	-1.2	-1.2	-1.2	-1.2	-1.2	1	1	1	1	1
51520	51520	-1	-1	-1	-1	-1	1.1	1.1	1.1	1.1	1.1
51715	51715	1.2	1.2	1.2	1.2	1.2	-2.1	-2.1	-2.1	-2.1	-2.1
54887	54887	1.9	1.9	1.9	1.9	1.9	1.3	1.3	1.3	1.3	1.3
55035	55035	2.3	2.3	2.3	2.3	2.3	1.6	1.6	1.6	1.6	1.6
55181	55181	1.1	1.1	1.1	1.1	1.1	-1.2	-1.2	-1.2	-1.2	-1.2
55226	55226	1.2	1.2	1.2	1.2	1.2	-1.9	-1.9	-1.9	-1.9	-1.9
55268	55268	-2	-2	-2	-2	-2	1.1	1.1	1.1	1.1	1.1
55500	55500	-1.6	-1.6	-1.6	-1.6	-1.6	1.1	1.1	1.1	1.1	1.1
55656	55656	1.7	1.7	1.7	1.7	1.7	1.2	1.2	1.2	1.2	1.2
55856	55856	1.4	1.4	1.4	1.4	1.4	1.1	1.1	1.1	1.1	1.1
56243	56243	-2.3	-2.3	-2.3	-2.3	-2.3	2	2	2	2	2
56672	56672	1.5	1.5	1.5	1.5	1.5	-1.6	-1.6	-1.6	-1.6	-1.6
56898	56898	-1.4	-1.4	-1.4	-1.4	-1.4	1.2	1.2	1.2	1.2	1.2
56994	56994	-2.1	-2.1	-2.1	-2.1	-2.1	1.4	1.4	1.4	1.4	1.4
57035	57035	-1.1	-1.1	-1.1	-1.1	-1.1	-2	-2	-2	-2	-2
57120	57120	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1
58533	58533	1.2	1.2	1.2	1.2	1.2	1.8	1.8	1.8	1.8	1.8
64327	64327	1.1	1.1	1.1	1.1	1.1	-1.1	-1.1	-1.1	-1.1	-1.1
79005	79005	1.7	1.7	1.7	1.7	1.7	1.1	1.1	1.1	1.1	1.1
79020	79020	1.2	1.2	1.2	1.2	1.2	1.6	1.6	1.6	1.6	1.6
79023	79023	1.6	1.6	1.6	1.6	1.6	1.7	1.7	1.7	1.7	1.7
79191	79191	-1.5	-1.5	-1.5	-1.5	-1.5	1	1	1	1	1
79572	79572	1.1	1.1	1.1	1.1	1.1	1.9	1.9	1.9	1.9	1.9
79622	79622	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
79679	79679	-2.1	-2.1	-2.1	-2.1	-2.1	1	1	1	1	1
81552	81552	2.2	2.2	2.2	2.2	2.2	1.9	1.9	1.9	1.9	1.9
81565	81565	-1	-1	-1	-1	-1	1.4	1.4	1.4	1.4	1.4
81573	81573	1.1	1.1	1.1	1.1	1.1	-1.4	-1.4	-1.4	-1.4	-1.4
83591	83591	-1.5	-1.5	-1.5	-1.5	-1.5	1.2	1.2	1.2	1.2	1.2
83856	83856	1.7	1.7	1.7	1.7	1.7	-1.3	-1.3	-1.3	-1.3	-1.3
83989	83989	-1.2	-1.2	-1.2	-1.2	-1.2	-1.6	-1.6	-1.6	-1.6	-1.6
84275	84275	-1.2	-1.2	-1.2	-1.2	-1.2	-1.4	-1.4	-1.4	-1.4	-1.4
84336	84336	-2	-2	-2	-2	-2	-2.2	-2.2	-2.2	-2.2	-2.2
84836	84836	-1.5	-1.5	-1.5	-1.5	-1.5	1.3	1.3	1.3	1.3	1.3
85365	85365	1.6	1.6	1.6	1.6	1.6	-1.3	-1.3	-1.3	-1.3	-1.3
90634	90634	-1.7	-1.7	-1.7	-1.7	-1.7	-2	-2	-2	-2	-2
130576	130576	-2	-2	-2	-2	-2	-1.2	-1.2	-1.2	-1.2	-1.2
285440	285440	-1.2	-1.2	-1.2	-1.2	-1.2	-1.5	-1.5	-1.5	-1.5	-1.5
